# 
# linear matter power power spectrum (Eisenstein-Hu zero baryon model) 
# parameters: h = 0.7, Om0 = 0.3, Ob0 = 0.05, Tcmb0 = 2.725, ns = 1. 
# columns: [1] k from 1e-8 to 1e+8, [2] un-normalised power
# 
1.158777356155126246e-04,1.401162738656253168e+02
1.247383514242943387e-04,1.508244022297565152e+02
1.342764961137864047e-04,1.623498926588651443e+02
1.445439770745927987e-04,1.747548964288319553e+02
1.555965631605074910e-04,1.881062334462531567e+02
1.674942876026438141e-04,2.024757293413299237e+02
1.803017740859569893e-04,2.179405736964612288e+02
1.940885877592779367e-04,2.345836999730333616e+02
2.089296130854040908e-04,2.524941875123118109e+02
2.249054605835782642e-04,2.717676857386609868e+02
2.421029046736180082e-04,2.925068603714530013e+02
2.606153549998897929e-04,3.148218610406396465e+02
2.805433637951716274e-04,3.388308091823978998e+02
3.019951720402019066e-04,3.646603044453167399e+02
3.250872973854346910e-04,3.924459470414223574e+02
3.499451670283576683e-04,4.223328725045295187e+02
3.767037989839092950e-04,4.544762941430121259e+02
4.055085354483843152e-04,4.890420470651569076e+02
4.365158322401656212e-04,5.262071259812804556e+02
4.698941086052150964e-04,5.661602070158965034e+02
5.058246620031137727e-04,6.091021414643572598e+02
5.445026528424208416e-04,6.552464067736644893e+02
5.861381645140284220e-04,7.048194969938945178e+02
6.309573444801929842e-04,7.580612315213602415e+02
6.792036326171843000e-04,8.152249571364056919e+02
7.311390834834172354e-04,8.765776141444456471e+02
7.870457896950984814e-04,9.423996328986900153e+02
8.472274141405963669e-04,1.012984622186041861e+03
9.120108393559096371e-04,1.088638805998616135e+03
9.817479430199844113e-04,1.169680160237893688e+03
1.056817509213658478e-03,1.256437196098816685e+03
1.137627285823430891e-03,1.349247332498394599e+03
1.224616199265048892e-03,1.448454796238779863e+03
1.318256738556407509e-03,1.554407985965345688e+03
1.419057521689092577e-03,1.667456234770533456e+03
1.527566058238073168e-03,1.787945906901043145e+03
1.644371723214932326e-03,1.916215766846722545e+03
1.770108958317422000e-03,2.052591564493576243e+03
1.905460717963248195e-03,2.197379788316134182e+03
2.051162178825566805e-03,2.350860549967418137e+03
2.208004733018901610e-03,2.513279578152361410e+03
2.376840286624878201e-03,2.684839317208080502e+03
2.558585886905647821e-03,2.865689146001325753e+03
2.754228703338169014e-03,3.055914754975338383e+03
2.964831389524345308e-03,3.255526742552753603e+03
3.191537855100764869e-03,3.464448515477443834e+03
3.435579478998750189e-03,3.682503599655849030e+03
3.698281797802666256e-03,3.909402487017377553e+03
3.981071705534977752e-03,4.144729158061783892e+03
4.285485203974392400e-03,4.387927427190816161e+03
4.613175745603791122e-03,4.638287256683917803e+03
4.965923214503357476e-03,4.894931173393003519e+03
5.345643593969713440e-03,5.156800898266683362e+03
5.754399373371566623e-03,5.422644261601970356e+03
6.194410750767811655e-03,5.691002426545299386e+03
6.668067692136218742e-03,5.960197382090214887e+03
7.177942912713615280e-03,6.228319600880375219e+03
7.726805850957021646e-03,6.493215699647259498e+03
8.317637711026708985e-03,6.752475915704062572e+03
8.953647655495937385e-03,7.003421264523210084e+03
9.638290236239705627e-03,7.243090441837539402e+03
1.037528415818012723e-02,7.468226989547421908e+03
1.116863247780561230e-02,7.675268120897131666e+03
1.202264434617413176e-02,7.860338119240775086e+03
1.294195841449986319e-02,8.019251656715759054e+03
1.393156802945303557e-02,8.147535987887408737e+03
1.499684835502373970e-02,8.240485875307136666e+03
1.614358556826487115e-02,8.293270986949355574e+03
1.737800828749376178e-02,8.301121162926363468e+03
1.870682140365801521e-02,8.259617666651147374e+03
2.013724249862389529e-02,8.165113599783861901e+03
2.167704104819696137e-02,8.015287664949877581e+03
2.333458062281004372e-02,7.809796550968821975e+03
2.511886431509582213e-02,7.550932306011735818e+03
